NAME,ALIASES
Tenant,"t, tenant"
LimitDefinition,"ld, limitdefinition"
ConsolePropertyDefinition,"cpd, consolepropertydefinition"
PropertyDefinition,"pd, propertydefinition"
LimitTenancyOverride,"lto, limittenancyoverride"
ConsolePropertyTenancyOverride,"cpto, consolepropertytenancyoverride"
PropertyTenancyOverride,"pto, propertytenancyoverride"
LimitRegionalOverride,"lro, limitregionaloverride"
ConsolePropertyRegionalOverride,"cpro, consolepropertyregionaloverride"
PropertyRegionalOverride,"pro, propertyregionaloverride"
BaseModel,"bm, basemodel"
ImportedModel,"im, importedmodel"
ModelArtifact,"ma, modelartifact"
Environment,"e, environment"
ServiceTenancy,"st, servicetenancy"
GPUPool,"gpup, gpupool, gp"
GPUNode,"gpun, gpunode, gn"
DedicatedAICluster,"daic, dedicatedaicluster, dac"
Alias,"a, alias"
